Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
77,female,group B,high school,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,40,44,45
80,male,group C,some college,standard,completed,single,sometimes,yes,4.0,school_bus,5 - 10,68,64,63
83,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,> 10,78,84,85
84,female,group C,high school,standard,none,married,sometimes,yes,0.0,private,< 5,53,67,65
85,male,group D,bachelor's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,79,76,70
93,male,group D,some high school,free/reduced,completed,married,regularly,no,2.0,school_bus,5 - 10,51,56,53
94,male,group E,some college,standard,none,divorced,regularly,yes,2.0,school_bus,< 5,76,64,59
95,male,group D,some high school,standard,none,single,regularly,yes,4.0,school_bus,5 - 10,86,79,74
99,female,group D,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,62,56,57
100,female,group E,master's degree,standard,completed,married,never,yes,3.0,school_bus,< 5,86,97,95
101,female,group B,some college,standard,completed,married,sometimes,yes,2.0,private,5 - 10,75,72,81
104,male,group C,some college,standard,completed,single,sometimes,no,1.0,private,< 5,78,80,78
105,female,group D,high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,65,71,75
106,female,group E,some high school,standard,none,single,regularly,yes,4.0,private,> 10,62,75,64
108,female,group C,associate's degree,free/reduced,none,married,never,no,5.0,school_bus,> 10,65,79,76
109,male,group A,some college,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,63,65,63
110,male,group E,some high school,standard,none,married,sometimes,yes,3.0,private,< 5,81,78,76
111,female,group D,high school,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,50,59,66
112,female,group D,high school,free/reduced,completed,divorced,sometimes,yes,4.0,school_bus,5 - 10,51,57,65
114,male,group B,high school,free/reduced,none,married,regularly,no,4.0,private,< 5,46,36,37
116,female,group E,high school,standard,completed,married,regularly,no,2.0,private,5 - 10,84,89,87
118,male,group B,some college,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,68,78,66
122,male,group D,bachelor's degree,standard,none,married,regularly,no,2.0,private,5 - 10,86,78,73
123,male,group C,some high school,standard,completed,single,sometimes,no,1.0,school_bus,< 5,59,48,49
125,female,group C,some college,standard,none,married,sometimes,yes,3.0,private,5 - 10,41,49,42
126,female,group B,high school,standard,none,married,regularly,yes,1.0,private,< 5,65,69,69
127,female,group C,some high school,standard,none,single,regularly,yes,3.0,school_bus,> 10,64,75,71
128,male,group C,some high school,standard,completed,married,regularly,yes,3.0,school_bus,> 10,74,69,66
129,female,group D,some college,free/reduced,none,married,never,yes,2.0,school_bus,< 5,44,45,47
130,male,group B,some high school,standard,completed,married,sometimes,yes,0.0,school_bus,> 10,75,68,74
131,male,group C,bachelor's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,61,62,57
132,female,group C,some college,standard,none,single,regularly,yes,2.0,school_bus,5 - 10,65,75,70
136,male,group B,some college,free/reduced,completed,single,sometimes,yes,3.0,school_bus,> 10,62,60,61
137,female,group C,some high school,standard,none,divorced,sometimes,yes,4.0,school_bus,> 10,90,90,86
138,male,group D,bachelor's degree,standard,none,single,sometimes,no,3.0,school_bus,< 5,69,62,62
140,female,group C,associate's degree,free/reduced,none,divorced,regularly,yes,3.0,school_bus,5 - 10,70,80,84
141,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,2.0,private,< 5,58,67,77
142,male,group C,some high school,standard,completed,single,sometimes,yes,1.0,school_bus,5 - 10,79,82,75
143,female,group A,some high school,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,52,71,63
144,male,group D,some high school,standard,none,divorced,never,yes,2.0,private,5 - 10,68,65,63
148,female,group C,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,31,46,42
149,female,group E,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,> 10,57,69,68
150,male,group D,master's degree,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,100,100,100
151,male,group B,some college,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,21,34,24
153,female,group C,some college,free/reduced,none,married,regularly,yes,2.0,private,< 5,62,73,73
155,male,group C,some college,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,60,57,56
157,male,group A,high school,standard,none,single,sometimes,no,3.0,school_bus,5 - 10,63,60,46
158,male,group D,some college,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,95,86,89
159,female,group C,high school,standard,completed,married,regularly,yes,2.0,private,< 5,49,62,56
160,male,group D,high school,free/reduced,none,married,regularly,yes,0.0,school_bus,> 10,80,71,72
161,male,group B,high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,46,44,36
162,female,group D,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,67,80,84
165,male,group C,high school,standard,none,married,regularly,yes,0.0,school_bus,< 5,73,64,67
169,male,group D,bachelor's degree,standard,completed,divorced,regularly,no,5.0,school_bus,> 10,100,86,92
170,male,group C,some college,standard,completed,single,regularly,no,2.0,school_bus,5 - 10,79,76,82
172,female,group A,some high school,standard,none,divorced,sometimes,yes,1.0,school_bus,> 10,33,46,38
174,male,group B,bachelor's degree,free/reduced,completed,married,sometimes,no,2.0,private,> 10,63,57,63
178,male,group A,high school,standard,none,married,sometimes,yes,3.0,private,< 5,64,50,43
181,male,group B,high school,free/reduced,none,single,sometimes,no,2.0,private,5 - 10,51,44,46
183,male,group C,associate's degree,standard,none,divorced,regularly,no,5.0,school_bus,5 - 10,75,73,63
184,male,group C,master's degree,standard,none,single,sometimes,yes,1.0,private,5 - 10,59,45,49
186,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,school_bus,< 5,76,71,66
187,male,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,private,< 5,64,54,50
188,female,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,61,69,71
189,male,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,59,56,57
191,male,group C,high school,free/reduced,none,married,sometimes,no,2.0,private,5 - 10,53,55,47
192,male,group C,some college,free/reduced,completed,divorced,sometimes,yes,3.0,school_bus,< 5,64,59,61
193,male,group E,some college,standard,none,divorced,never,yes,0.0,school_bus,5 - 10,81,87,79
194,male,group C,bachelor's degree,standard,none,married,sometimes,yes,5.0,school_bus,< 5,68,80,70
197,female,group A,master's degree,free/reduced,none,married,never,no,4.0,school_bus,5 - 10,40,64,59
198,male,group D,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,91,77,80
200,male,group B,some high school,standard,completed,married,sometimes,yes,0.0,private,5 - 10,67,69,61
201,female,group B,some high school,standard,none,married,regularly,no,2.0,private,> 10,58,53,54
202,male,group C,some high school,free/reduced,completed,divorced,sometimes,yes,3.0,private,< 5,66,76,74
203,male,group B,associate's degree,standard,completed,divorced,sometimes,yes,2.0,private,> 10,80,74,74
204,male,group B,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,5 - 10,79,64,66
206,female,group E,bachelor's degree,standard,completed,single,regularly,no,4.0,school_bus,5 - 10,83,92,100
208,male,group D,bachelor's degree,standard,none,single,regularly,no,2.0,school_bus,< 5,80,79,82
209,female,group B,some high school,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,69,87,80
214,female,group D,high school,standard,none,single,sometimes,yes,7.0,school_bus,> 10,59,71,67
218,male,group D,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,> 10,67,57,56
219,male,group A,high school,standard,completed,single,regularly,no,1.0,private,5 - 10,73,80,75
220,male,group C,some high school,standard,none,single,sometimes,yes,2.0,private,< 5,55,58,45
221,male,group C,associate's degree,free/reduced,none,divorced,sometimes,yes,2.0,private,> 10,69,70,65
223,male,group E,some high school,standard,completed,divorced,sometimes,yes,3.0,school_bus,> 10,100,100,97
224,male,group C,high school,standard,none,single,regularly,yes,3.0,school_bus,< 5,81,75,72
226,female,group D,associate's degree,free/reduced,completed,divorced,regularly,yes,0.0,school_bus,> 10,53,77,86
228,female,group D,high school,free/reduced,completed,married,never,no,2.0,school_bus,> 10,54,62,69
229,male,group A,high school,free/reduced,none,divorced,sometimes,yes,4.0,school_bus,> 10,54,43,43
231,male,group D,master's degree,standard,none,single,regularly,yes,0.0,private,< 5,73,71,70
233,male,group B,master's degree,standard,none,single,regularly,no,1.0,private,> 10,84,87,81
234,female,group E,some high school,standard,completed,married,sometimes,yes,2.0,private,5 - 10,91,87,86
235,female,group E,high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,62,79,71
237,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,2.0,private,> 10,70,58,63
238,male,group C,high school,standard,completed,single,never,yes,2.0,school_bus,< 5,41,43,39
239,male,group B,high school,standard,none,married,sometimes,yes,1.0,school_bus,< 5,41,48,40
240,male,group B,some high school,standard,completed,married,never,no,4.0,private,< 5,48,43,46
241,male,group C,high school,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,48,48,46
242,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,> 10,70,68,59
243,male,group C,some college,free/reduced,none,married,never,no,2.0,private,> 10,69,63,61
245,female,group B,high school,standard,completed,divorced,regularly,yes,3.0,private,5 - 10,50,62,61
246,male,group B,associate's degree,standard,none,married,regularly,no,2.0,school_bus,5 - 10,69,72,63
248,female,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,58,60,64
250,male,group C,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,49,48,42
251,male,group C,some high school,standard,none,divorced,never,yes,4.0,private,5 - 10,57,53,49
252,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,72,96,94
255,female,group D,master's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,78,84,98
256,male,group D,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,5 - 10,79,73,73
258,male,group B,some college,standard,completed,married,sometimes,no,3.0,school_bus,5 - 10,81,82,83
259,female,group C,bachelor's degree,standard,completed,married,regularly,no,2.0,school_bus,> 10,65,72,82
261,female,group B,high school,standard,none,married,sometimes,no,1.0,private,< 5,58,71,66
262,female,group C,bachelor's degree,standard,completed,married,regularly,no,1.0,school_bus,5 - 10,72,82,86
265,male,group C,bachelor's degree,standard,none,single,regularly,no,3.0,school_bus,5 - 10,59,61,56
267,female,group B,some high school,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,48,59,55
268,female,group C,associate's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,5 - 10,60,79,78
269,male,group C,some college,free/reduced,completed,single,regularly,no,1.0,private,> 10,85,86,89
272,male,group B,master's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,85,83,76
273,male,group E,bachelor's degree,standard,completed,divorced,sometimes,yes,3.0,school_bus,< 5,86,67,75
276,male,group A,bachelor's degree,standard,none,single,sometimes,no,5.0,school_bus,5 - 10,57,39,40
281,male,group C,high school,free/reduced,none,married,sometimes,yes,6.0,school_bus,5 - 10,71,66,64
284,female,group C,high school,standard,none,married,sometimes,no,3.0,private,5 - 10,59,62,60
285,male,group C,associate's degree,standard,completed,married,sometimes,yes,3.0,private,< 5,58,62,61
287,male,group C,associate's degree,free/reduced,completed,divorced,sometimes,no,2.0,private,5 - 10,68,62,64
289,male,group D,some college,standard,completed,married,sometimes,yes,4.0,private,5 - 10,99,91,95
290,female,group E,some high school,free/reduced,completed,divorced,sometimes,yes,4.0,private,5 - 10,48,52,55
291,male,group B,bachelor's degree,free/reduced,none,divorced,regularly,no,1.0,private,5 - 10,62,65,61
292,female,group E,some college,free/reduced,none,married,never,yes,1.0,private,5 - 10,46,60,49
296,male,group A,high school,standard,completed,divorced,sometimes,yes,3.0,school_bus,< 5,67,67,65
298,male,group C,associate's degree,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,92,77,79
299,male,group C,associate's degree,standard,none,single,regularly,yes,3.0,school_bus,> 10,73,67,61
300,female,group D,bachelor's degree,standard,none,married,sometimes,no,4.0,private,5 - 10,55,56,52
302,female,group D,some college,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,70,83,85
308,female,group C,associate's degree,standard,completed,divorced,sometimes,no,3.0,school_bus,5 - 10,74,90,95
310,female,group E,some college,standard,none,married,sometimes,yes,2.0,school_bus,< 5,76,79,76
312,female,group D,some high school,standard,none,married,regularly,yes,0.0,school_bus,< 5,69,87,85
315,female,group D,some college,standard,completed,single,sometimes,no,2.0,private,< 5,71,72,76
317,male,group C,bachelor's degree,free/reduced,completed,single,never,no,3.0,school_bus,> 10,78,71,75
320,male,group E,some high school,free/reduced,completed,divorced,regularly,yes,3.0,private,5 - 10,86,85,78
321,female,group D,some high school,free/reduced,none,married,sometimes,no,1.0,school_bus,> 10,57,72,71
323,female,group C,some college,standard,none,married,sometimes,yes,0.0,private,5 - 10,60,73,68
324,female,group B,some college,standard,completed,married,sometimes,no,5.0,school_bus,< 5,59,73,76
325,male,group C,master's degree,free/reduced,completed,married,sometimes,yes,1.0,private,5 - 10,80,86,86
327,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,4.0,private,5 - 10,59,70,73
330,male,group A,associate's degree,standard,completed,single,regularly,yes,2.0,school_bus,5 - 10,72,68,72
331,female,group C,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,64,81,77
333,female,group C,associate's degree,standard,completed,married,regularly,yes,0.0,school_bus,5 - 10,48,59,60
334,male,group C,high school,standard,none,married,sometimes,yes,0.0,school_bus,< 5,60,55,49
335,male,group D,some college,standard,none,divorced,regularly,no,4.0,school_bus,5 - 10,66,57,60
336,female,group C,some high school,standard,none,divorced,never,no,3.0,private,< 5,62,77,76
337,female,group D,high school,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,94,98,93
339,female,group B,high school,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,79,81,76
344,male,group D,some high school,standard,none,married,sometimes,yes,2.0,school_bus,> 10,70,69,65
347,female,group C,associate's degree,free/reduced,none,divorced,never,yes,1.0,school_bus,< 5,37,45,41
348,male,group B,high school,standard,none,married,regularly,yes,1.0,private,5 - 10,61,57,59
350,male,group C,high school,free/reduced,completed,married,regularly,yes,3.0,private,5 - 10,74,75,68
351,female,group C,some high school,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,66,73,83
352,male,group A,high school,free/reduced,completed,single,sometimes,yes,0.0,private,> 10,50,55,52
353,female,group C,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,56,61,67
355,male,group D,some college,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,91,97,99
356,female,group C,high school,standard,none,single,regularly,no,2.0,school_bus,< 5,79,79,83
357,female,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,68,66,69
358,female,group C,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,57,69,74
359,female,group B,some college,free/reduced,completed,single,sometimes,no,1.0,private,> 10,58,73,73
361,female,group B,some college,free/reduced,completed,married,regularly,no,3.0,school_bus,5 - 10,43,61,62
362,female,group B,associate's degree,standard,none,divorced,sometimes,yes,4.0,school_bus,< 5,68,74,76
364,female,group C,high school,standard,none,divorced,sometimes,no,4.0,school_bus,> 10,45,58,55
366,male,group D,some college,free/reduced,none,single,regularly,yes,2.0,school_bus,< 5,44,60,56
367,female,group D,some college,free/reduced,none,married,sometimes,yes,1.0,private,< 5,67,72,69
373,male,group D,some high school,standard,completed,divorced,sometimes,yes,0.0,school_bus,5 - 10,87,85,86
375,male,group E,some college,free/reduced,completed,married,regularly,no,2.0,private,< 5,85,78,75
376,male,group E,high school,standard,completed,married,sometimes,yes,2.0,private,5 - 10,76,66,68
377,male,group B,bachelor's degree,standard,completed,married,never,yes,4.0,school_bus,< 5,78,71,69
378,male,group C,some high school,free/reduced,none,married,never,yes,1.0,school_bus,5 - 10,27,18,15
379,female,group E,some high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,66,73,71
381,male,group C,associate's degree,standard,completed,married,sometimes,yes,3.0,private,5 - 10,87,87,85
382,female,group C,high school,free/reduced,none,single,sometimes,no,3.0,private,5 - 10,39,56,53
383,female,group D,some college,standard,none,married,sometimes,no,4.0,school_bus,5 - 10,58,62,64
385,female,group B,some high school,standard,completed,single,regularly,no,1.0,school_bus,< 5,55,73,76
390,female,group B,some high school,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,48,65,59
394,female,group D,some high school,free/reduced,completed,divorced,regularly,yes,3.0,private,5 - 10,76,84,84
395,male,group C,high school,free/reduced,completed,single,sometimes,yes,2.0,school_bus,5 - 10,75,72,69
396,male,group B,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,< 5,87,85,76
397,female,group D,bachelor's degree,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,58,68,68
399,male,group E,some high school,free/reduced,none,single,regularly,yes,1.0,private,> 10,58,54,48
400,male,group C,some high school,standard,none,widowed,sometimes,yes,3.0,school_bus,5 - 10,81,74,77
401,female,group C,some high school,standard,completed,single,sometimes,yes,1.0,school_bus,> 10,64,69,73
402,male,group E,bachelor's degree,standard,none,married,regularly,no,1.0,school_bus,5 - 10,100,94,97
403,female,group B,bachelor's degree,standard,completed,single,sometimes,no,1.0,school_bus,5 - 10,47,60,64
405,female,group D,master's degree,standard,completed,married,regularly,yes,3.0,private,< 5,88,98,100
406,female,group B,bachelor's degree,free/reduced,none,single,sometimes,no,1.0,private,5 - 10,47,52,48
411,female,group B,high school,standard,none,married,sometimes,yes,6.0,school_bus,5 - 10,54,71,69
412,male,group B,some college,free/reduced,completed,single,never,yes,0.0,school_bus,< 5,51,48,48
414,female,group E,some college,standard,none,married,regularly,yes,4.0,private,< 5,81,99,92
415,male,group A,some college,free/reduced,completed,single,sometimes,yes,3.0,school_bus,5 - 10,74,72,70
416,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,3.0,school_bus,> 10,53,79,74
417,male,group A,associate's degree,free/reduced,completed,married,never,yes,2.0,private,5 - 10,59,65,57
418,female,group A,high school,standard,none,married,regularly,no,3.0,school_bus,< 5,61,71,72
421,male,group D,associate's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,5 - 10,77,75,77
422,female,group C,some college,free/reduced,none,divorced,never,yes,5.0,private,5 - 10,28,41,40
423,male,group C,high school,standard,none,married,regularly,no,5.0,private,< 5,70,64,61
424,female,group D,associate's degree,standard,completed,single,never,yes,2.0,private,> 10,68,83,80
425,male,group B,some college,standard,completed,married,sometimes,no,1.0,private,5 - 10,69,68,64
426,female,group B,high school,free/reduced,none,married,regularly,no,1.0,school_bus,< 5,30,34,37
435,male,group D,some college,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,87,86,85
436,male,group E,high school,standard,completed,married,sometimes,yes,2.0,school_bus,5 - 10,100,95,88
438,male,group C,master's degree,free/reduced,completed,divorced,regularly,no,1.0,school_bus,5 - 10,73,83,74
441,male,group B,some college,standard,completed,married,sometimes,yes,0.0,school_bus,< 5,92,89,96
444,male,group D,high school,free/reduced,completed,divorced,sometimes,yes,0.0,school_bus,> 10,50,52,57
445,male,group C,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,61,61,57
446,male,group A,bachelor's degree,free/reduced,none,married,never,yes,2.0,school_bus,5 - 10,76,81,76
449,male,group D,bachelor's degree,standard,none,married,regularly,yes,2.0,private,> 10,89,84,81
454,male,group E,some high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,100,96,91
456,female,group B,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,57,69,72
462,male,group C,some college,standard,none,married,never,yes,1.0,private,5 - 10,84,84,82
464,male,group E,high school,standard,none,married,never,no,2.0,private,5 - 10,52,51,43
466,male,group D,bachelor's degree,standard,none,married,sometimes,yes,3.0,school_bus,< 5,63,54,55
469,male,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,75,69,58
470,female,group D,high school,standard,completed,single,regularly,yes,0.0,school_bus,< 5,81,89,96
473,female,group A,some college,standard,none,married,regularly,yes,0.0,private,5 - 10,50,55,51
474,male,group A,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,71,68,58
475,male,group A,high school,standard,none,single,sometimes,yes,3.0,school_bus,< 5,80,77,68
476,male,group C,associate's degree,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,81,80,76
477,male,group D,bachelor's degree,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,72,64,63
478,female,group C,associate's degree,standard,completed,divorced,sometimes,no,3.0,private,5 - 10,68,76,74
484,female,group E,associate's degree,standard,none,married,regularly,no,3.0,private,5 - 10,67,78,75
485,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,school_bus,< 5,47,47,43
488,female,group A,master's degree,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,79,91,84
490,female,group C,master's degree,standard,none,married,sometimes,no,2.0,school_bus,> 10,69,74,74
492,female,group B,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,> 10,48,70,62
493,male,group A,some high school,free/reduced,completed,single,regularly,yes,3.0,private,> 10,49,58,53
494,female,group D,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,67,69,71
496,female,group E,associate's degree,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,69,76,72
498,female,group C,high school,standard,completed,married,sometimes,yes,4.0,school_bus,5 - 10,43,61,66
502,female,group B,some high school,standard,none,divorced,never,yes,4.0,school_bus,> 10,49,54,48
503,female,group E,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,53,56,56
504,male,group C,master's degree,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,83,81,80
505,female,group C,high school,standard,none,married,sometimes,yes,1.0,school_bus,> 10,76,83,75
506,female,group D,some college,free/reduced,none,married,sometimes,no,4.0,school_bus,5 - 10,77,89,87
509,male,group E,some high school,standard,none,married,sometimes,yes,3.0,school_bus,> 10,84,68,63
510,female,group B,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,> 10,62,79,73
511,female,group C,high school,standard,none,divorced,sometimes,yes,2.0,private,> 10,75,76,77
512,male,group D,high school,standard,none,divorced,never,no,1.0,school_bus,> 10,78,75,67
513,male,group B,high school,standard,none,married,never,yes,1.0,private,5 - 10,69,67,60
514,female,group E,some high school,free/reduced,completed,married,regularly,no,2.0,school_bus,< 5,56,65,65
515,male,group E,high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,55,54
518,male,group E,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,> 10,64,61,52
519,male,group B,some college,free/reduced,none,single,never,yes,1.0,school_bus,5 - 10,60,62,56
521,female,group A,bachelor's degree,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,73,89,85
522,male,group A,some high school,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,65,69,67
523,male,group D,some college,free/reduced,completed,married,sometimes,no,1.0,private,5 - 10,62,63,63
524,female,group C,some high school,free/reduced,none,married,sometimes,yes,2.0,private,5 - 10,64,72,75
528,female,group E,associate's degree,standard,none,married,sometimes,yes,6.0,school_bus,> 10,75,78,74
529,male,group C,bachelor's degree,free/reduced,none,married,never,yes,2.0,school_bus,5 - 10,70,65,64
532,male,group B,master's degree,standard,none,married,never,no,3.0,school_bus,5 - 10,64,61,60
536,female,group D,some college,standard,none,married,sometimes,yes,3.0,private,> 10,67,80,77
537,male,group C,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,< 5,60,64,57
538,male,group C,some high school,standard,completed,single,never,yes,3.0,private,5 - 10,46,48,44
539,male,group D,high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,64,66
541,female,group B,some college,standard,none,single,regularly,yes,1.0,school_bus,5 - 10,57,72,63
542,male,group B,some college,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,48,53,54
545,male,group E,master's degree,standard,none,married,regularly,yes,4.0,school_bus,< 5,84,69,71
547,female,group B,bachelor's degree,standard,none,married,sometimes,yes,0.0,private,< 5,74,86,85
550,female,group C,some college,standard,none,married,never,yes,3.0,private,5 - 10,73,91,89
552,female,group C,master's degree,standard,completed,single,regularly,yes,3.0,school_bus,< 5,70,83,91
554,male,group B,master's degree,standard,none,single,sometimes,yes,3.0,private,5 - 10,80,80,73
555,male,group B,some college,standard,completed,single,regularly,yes,2.0,school_bus,5 - 10,77,65,66
556,male,group B,high school,standard,completed,divorced,sometimes,yes,1.0,school_bus,< 5,68,75,74
557,female,group C,high school,standard,completed,married,sometimes,yes,2.0,private,< 5,59,68,73
558,male,group D,bachelor's degree,free/reduced,none,married,regularly,no,2.0,private,5 - 10,72,76,71
560,female,group C,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,92,97,93
561,male,group A,bachelor's degree,standard,none,divorced,regularly,no,3.0,school_bus,> 10,85,85,76
562,male,group E,high school,free/reduced,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,71,73,71
563,female,group A,bachelor's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,81,84,93
565,male,group C,some high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,71,65,65
566,female,group A,some high school,free/reduced,completed,married,sometimes,yes,7.0,school_bus,< 5,26,44,45
567,female,group D,some college,free/reduced,none,married,sometimes,yes,7.0,school_bus,> 10,31,49,48
568,female,group C,high school,standard,completed,divorced,sometimes,yes,3.0,private,5 - 10,83,87,87
569,female,group E,some college,standard,none,single,sometimes,yes,4.0,private,< 5,70,68,73
570,female,group B,some college,standard,none,married,regularly,no,2.0,private,5 - 10,52,63,61
573,male,group C,associate's degree,standard,completed,single,sometimes,no,2.0,school_bus,5 - 10,61,58,63
575,female,group E,master's degree,standard,none,divorced,sometimes,no,3.0,private,5 - 10,84,96,93
576,male,group D,some high school,standard,none,married,sometimes,yes,3.0,school_bus,> 10,74,75,71
577,female,group C,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,84,92,99
578,female,group C,some college,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,56,62,69
579,female,group C,master's degree,standard,none,married,sometimes,no,1.0,school_bus,> 10,74,78,81
582,male,group B,some high school,standard,none,single,sometimes,yes,2.0,school_bus,> 10,84,74,70
584,male,group E,high school,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,89,83,75
585,male,group D,some college,free/reduced,completed,single,sometimes,no,1.0,private,< 5,71,65,68
586,female,group B,associate's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,61,63,63
589,female,group B,bachelor's degree,free/reduced,none,married,never,yes,5.0,school_bus,5 - 10,59,63,58
590,male,group B,bachelor's degree,standard,none,married,sometimes,no,1.0,school_bus,< 5,75,76,76
592,female,group E,high school,standard,none,married,never,yes,0.0,private,5 - 10,81,87,84
594,male,group D,some college,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,73,70,67
596,male,group B,bachelor's degree,standard,completed,married,regularly,yes,1.0,school_bus,< 5,76,68,70
598,female,group D,some college,standard,none,married,sometimes,no,3.0,private,5 - 10,81,100,97
599,male,group E,some college,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,87,81,87
600,male,group B,high school,free/reduced,completed,single,sometimes,yes,3.0,private,> 10,47,49,43
602,male,group D,high school,free/reduced,completed,married,sometimes,yes,7.0,school_bus,5 - 10,73,71,76
604,female,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,50,56,54
605,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,49,62,61
606,male,group C,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,5 - 10,62,62,57
